Timestamp,Temperature[degC],Humidity[percent],NO2[ppb],CO[ppm],NO2[V],CO[V],Latitude[deg],Longitude[deg],Altitude[m]
04/07/2017 09:16:01,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:06,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:11,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:16,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:21,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:26,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:31,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:36,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:41,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:46,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:51,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:16:56,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:01,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:06,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:11,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:16,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:21,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:26,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:31,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:36,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:41,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:46,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:51,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:17:56,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:01,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:06,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:11,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:16,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:21,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:26,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:31,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:36,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:41,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:46,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:51,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:18:56,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:01,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:06,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:11,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:16,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:21,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:26,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:31,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:36,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:41,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:46,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:51,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:19:56,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:01,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:06,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:11,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:16,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:21,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:26,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:31,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:36,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:40,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:45,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:51,---,---,---,---,0.000000,0.000000,---,---,---
04/07/2017 09:20:55,22.17,46.30,29.78,0.58,-0.827807,-1.993320,---,---,---
04/07/2017 09:21:00,22.17,46.31,29.08,0.59,-0.827797,-1.993309,---,---,---
04/07/2017 09:21:05,22.17,46.31,29.42,0.62,-0.827801,-1.993277,---,---,---
04/07/2017 09:21:10,22.18,46.29,28.44,0.67,-0.827787,-1.993230,---,---,---
04/07/2017 09:21:15,22.18,46.26,27.91,0.72,-0.827779,-1.993181,---,---,---
04/07/2017 09:21:21,22.19,46.24,28.92,0.75,-0.827793,-1.993150,---,---,---
04/07/2017 09:21:25,22.19,46.24,28.88,0.76,-0.827792,-1.993137,---,---,---
04/07/2017 09:21:30,22.19,46.21,28.77,0.73,-0.827790,-1.993164,---,---,---
04/07/2017 09:21:35,22.20,46.20,28.47,0.83,-0.827785,-1.993065,---,---,---
04/07/2017 09:21:40,22.20,46.21,29.24,0.79,-0.827796,-1.993100,---,---,---
04/07/2017 09:21:46,22.20,46.23,30.00,0.76,-0.827806,-1.993130,---,---,---
04/07/2017 09:21:50,22.21,46.25,30.55,0.77,-0.827814,-1.993122,---,---,---
04/07/2017 09:21:55,22.21,46.27,30.09,0.78,-0.827807,-1.993106,---,---,---
04/07/2017 09:22:00,22.21,46.29,30.47,0.79,-0.827812,-1.993095,---,---,---
04/07/2017 09:22:05,22.22,46.29,29.39,0.81,-0.827796,-1.993079,---,---,---
04/07/2017 09:22:11,22.22,46.29,29.99,0.84,-0.827804,-1.993043,---,---,---
04/07/2017 09:22:15,22.22,46.29,29.73,0.88,-0.827800,-1.993007,---,---,---
04/07/2017 09:22:20,22.23,46.31,29.85,0.88,-0.827802,-1.993010,---,---,---
04/07/2017 09:22:25,22.23,46.32,29.36,0.92,-0.827795,-1.992968,---,---,---
04/07/2017 09:22:30,22.23,46.32,29.81,0.98,-0.827801,-1.992903,---,---,---
04/07/2017 09:22:35,22.23,46.33,30.16,0.97,-0.827805,-1.992915,---,---,---
04/07/2017 09:22:41,22.24,46.37,30.62,0.97,-0.827812,-1.992909,---,---,---
04/07/2017 09:22:45,22.24,46.40,30.68,0.94,-0.827812,-1.992944,---,---,---
04/07/2017 09:22:50,22.24,46.44,31.96,0.92,-0.827830,-1.992959,---,---,---
04/07/2017 09:22:55,22.24,46.46,30.01,0.91,-0.827802,-1.992967,---,---,---
04/07/2017 09:23:00,22.25,46.49,29.96,0.89,-0.827801,-1.992984,---,---,---
04/07/2017 09:23:06,22.25,46.51,30.92,0.92,-0.827814,-1.992955,---,---,---
04/07/2017 09:23:10,22.26,46.51,29.19,0.93,-0.827789,-1.992951,---,---,---
04/07/2017 09:23:15,22.26,46.51,29.70,1.00,-0.827796,-1.992879,---,---,---
04/07/2017 09:23:20,22.26,46.53,31.82,1.01,-0.827826,-1.992865,---,---,---
04/07/2017 09:23:25,22.27,46.55,29.16,0.92,-0.827788,-1.992948,---,---,---
04/07/2017 09:23:31,22.27,46.57,30.17,0.92,-0.827802,-1.992957,---,---,---
04/07/2017 09:23:35,22.27,46.60,31.27,0.93,-0.827817,-1.992942,---,---,---
04/07/2017 09:23:40,22.28,46.63,31.53,0.93,-0.827820,-1.992942,---,---,---
04/07/2017 09:23:45,22.28,46.66,31.29,0.93,-0.827816,-1.992942,---,---,---
04/07/2017 09:23:50,22.28,46.67,32.59,0.93,-0.827835,-1.992933,---,---,---
04/07/2017 09:23:55,22.29,46.68,34.30,0.89,-0.827859,-1.992981,---,---,---
04/07/2017 09:24:01,22.29,46.70,35.85,0.93,-0.827880,-1.992936,---,---,---
04/07/2017 09:24:05,22.29,46.71,35.48,0.86,-0.827875,-1.993001,---,---,---
04/07/2017 09:24:10,22.30,46.72,35.62,0.84,-0.827876,-1.993018,---,---,---
04/07/2017 09:24:15,22.30,46.73,36.12,0.82,-0.827883,-1.993041,---,---,---
04/07/2017 09:24:20,22.30,46.73,36.27,0.84,-0.827885,-1.993016,---,---,---
04/07/2017 09:24:26,22.31,46.72,35.24,0.87,-0.827870,-1.992985,---,---,---
04/07/2017 09:24:30,22.31,46.73,36.02,0.80,-0.827881,-1.993055,---,---,---
04/07/2017 09:24:35,22.31,46.74,36.69,0.78,-0.827890,-1.993073,---,---,---
04/07/2017 09:24:40,22.32,46.74,36.09,0.76,-0.827881,-1.993096,---,---,---
04/07/2017 09:24:45,22.32,46.73,34.19,0.75,-0.827854,-1.993100,---,---,---
04/07/2017 09:24:51,22.32,46.70,34.34,0.72,-0.827855,-1.993132,---,---,---
04/07/2017 09:24:55,22.33,46.68,33.52,0.75,-0.827843,-1.993101,---,---,---
04/07/2017 09:25:00,22.33,46.66,34.78,0.73,-0.827861,-1.993125,---,---,---
04/07/2017 09:25:05,22.33,46.65,34.03,0.70,-0.827850,-1.993147,---,---,---
04/07/2017 09:25:10,22.34,46.63,34.90,0.65,-0.827862,-1.993200,---,---,---
04/07/2017 09:25:15,22.34,46.62,34.89,0.63,-0.827861,-1.993217,---,---,---
04/07/2017 09:25:21,22.35,46.61,32.74,0.62,-0.827830,-1.993226,---,---,---
04/07/2017 09:25:25,22.35,46.61,32.49,0.65,-0.827826,-1.993193,---,---,---
04/07/2017 09:25:30,22.35,46.62,33.85,0.64,-0.827845,-1.993200,---,---,---
04/07/2017 09:25:35,22.36,46.65,33.99,0.66,-0.827847,-1.993182,---,---,---
04/07/2017 09:25:40,22.36,46.67,33.03,0.63,-0.827833,-1.993215,---,---,---
04/07/2017 09:25:45,22.36,46.68,32.40,0.64,-0.827824,-1.993204,---,---,---
04/07/2017 09:25:50,22.36,46.67,31.83,0.60,-0.827815,-1.993238,---,---,---
04/07/2017 09:25:55,22.37,46.66,31.54,0.60,-0.827811,-1.993234,---,---,---
04/07/2017 09:26:00,22.37,46.63,32.34,0.59,-0.827822,-1.993245,---,---,---
04/07/2017 09:26:05,22.37,46.62,33.20,0.60,-0.827834,-1.993238,---,---,---
04/07/2017 09:26:10,22.37,46.61,33.56,0.57,-0.827839,-1.993264,---,---,---
04/07/2017 09:26:15,22.38,46.63,34.11,0.54,-0.827846,-1.993290,---,---,---
04/07/2017 09:26:20,22.38,46.64,32.22,0.59,-0.827819,-1.993246,---,---,---
04/07/2017 09:26:25,22.38,46.62,30.76,0.64,-0.827798,-1.993195,---,---,---
04/07/2017 09:26:30,22.38,46.61,29.82,0.61,-0.827784,-1.993226,---,---,---
04/07/2017 09:26:35,22.39,46.58,29.17,0.57,-0.827774,-1.993259,---,---,---
04/07/2017 09:26:40,22.40,46.54,28.05,0.63,-0.827758,-1.993199,---,---,---
04/07/2017 09:26:45,22.40,46.49,28.74,0.64,-0.827767,-1.993192,---,---,---
04/07/2017 09:26:50,22.41,46.46,29.32,0.64,-0.827775,-1.993184,---,---,---
04/07/2017 09:26:55,22.41,46.42,29.86,0.65,-0.827782,-1.993178,---,---,---
04/07/2017 09:27:00,22.41,46.39,30.07,0.65,-0.827785,-1.993170,---,---,---
04/07/2017 09:27:05,22.42,46.38,32.45,0.67,-0.827818,-1.993153,---,---,---
04/07/2017 09:27:10,22.42,46.36,31.19,0.66,-0.827800,-1.993166,---,---,---
04/07/2017 09:27:15,22.42,46.35,31.20,0.58,-0.827800,-1.993238,---,---,---
04/07/2017 09:27:20,22.43,46.33,32.23,0.63,-0.827814,-1.993193,---,---,---
