timestamp,temperature[degC],humidity[%],pm[ug/m^3],pm[V],latitude[deg],longitude[deg],altitude[deg]
11/26/2016 14:12:31,18.27,12.05,1.2,0.22461,---,---,---
11/26/2016 14:13:29,18.26,7.23,0.67,0.28015,---,---,---
11/26/2016 14:14:29,18.27,7.74,0.93,0.23438,---,---,---
11/26/2016 14:15:29,18.29,7.23,2.37,0.49438,---,---,---
11/26/2016 14:16:29,18.29,8.04,3.15,0.34668,---,---,---
11/26/2016 14:17:29,18.29,9.79,1.35,0.32104,---,---,---
11/26/2016 14:18:29,18.28,9.05,1.81,0.38635,---,---,---
11/26/2016 14:19:29,18.29,12.02,2.19,0.27832,---,---,---
11/26/2016 14:20:29,18.28,10.24,1.59,0.20935,---,---,---
11/26/2016 14:21:29,18.29,13.5,0.19,0.11292,---,---,---
11/26/2016 14:22:29,18.3,10.94,0.26,0.15564,---,---,---
11/26/2016 14:23:29,18.3,8.82,0.4,0.29602,---,---,---
11/26/2016 14:24:29,18.32,7.41,1.28,0.26184,---,---,---
11/26/2016 14:25:29,18.34,11.28,1.04,0.3949,---,---,---
11/26/2016 14:26:29,18.33,10.17,1.13,0.24048,---,---,---
11/26/2016 14:27:29,18.33,9.57,0.93,0.26306,---,---,---
11/26/2016 14:28:29,18.32,8.64,0,0.18005,---,---,---
11/26/2016 14:29:29,18.32,10.54,0.96,0.28076,---,---,---
11/26/2016 14:30:29,18.33,14.44,0.39,0.22949,---,---,---
11/26/2016 14:31:29,18.33,15.03,0.87,0.16113,---,---,---
11/26/2016 14:32:29,18.33,15.22,0.26,0.14832,---,---,---
11/26/2016 14:33:29,18.34,14.29,0,0.23499,---,---,---
11/26/2016 14:34:29,18.33,10.68,1.17,0.45105,---,---,---
11/26/2016 14:35:29,18.34,10.39,2.63,0.38696,---,---,---
11/26/2016 14:36:29,18.35,8.98,1.41,0.21301,---,---,---
11/26/2016 14:37:29,18.36,9.5,0,0.17334,---,---,---
11/26/2016 14:38:29,18.38,7.49,1.1,0.43213,---,---,---
11/26/2016 14:39:29,18.38,9.8,0.6,0.22461,---,---,---
11/26/2016 14:40:29,18.39,12.37,0.27,0.11963,---,---,---
11/26/2016 14:41:29,18.4,11.06,0,0.14832,---,---,---
11/26/2016 14:42:29,18.4,10.39,0.91,0.35583,---,---,---
11/26/2016 14:43:29,18.39,10.28,2.05,0.43518,---,---,---
11/26/2016 14:44:29,18.39,10.47,1.26,0.26978,---,---,---
11/26/2016 14:45:29,18.38,10.43,1.61,0.23315,---,---,---
11/26/2016 14:46:29,18.38,9.06,1.59,0.19165,---,---,---
11/26/2016 14:47:29,18.4,8.64,0,0.31311,---,---,---
11/26/2016 14:48:29,18.42,9.16,0.9,0.21362,---,---,---
11/26/2016 14:49:29,18.41,9.72,0.05,0.15869,---,---,---
11/26/2016 14:50:29,18.41,10.58,0.14,0.20203,---,---,---
11/26/2016 14:51:29,18.41,11.36,1.59,0.38086,---,---,---
11/26/2016 14:52:29,18.41,12.07,0.56,0.18921,---,---,---
11/26/2016 14:53:29,18.42,7.71,1.08,0.33691,---,---,---
11/26/2016 14:54:29,18.44,10.95,0.49,0.13123,---,---,---
11/26/2016 14:55:29,18.44,12.89,0,0.44067,---,---,---
11/26/2016 14:56:29,18.44,12.33,1.93,0.19165,---,---,---
11/26/2016 14:57:29,18.43,8.46,0.24,0.28198,---,---,---
11/26/2016 14:58:31,18.43,9.28,0.49,0.24902,---,---,---
11/26/2016 14:59:29,18.43,11.48,0.81,0.26917,---,---,---
11/26/2016 15:00:29,18.44,10.25,2.07,0.33936,---,---,---
11/26/2016 15:01:29,18.44,9.02,1.08,0.19287,---,---,---
11/26/2016 15:02:29,18.43,8.61,1.56,0.48096,---,---,---
11/26/2016 15:03:29,18.44,13.38,1.43,0.20508,---,---,---
11/26/2016 15:04:29,18.44,8.9,0.4,0.3125,---,---,---
11/26/2016 15:05:29,18.47,10.77,1.44,0.34485,---,---,---
11/26/2016 15:06:29,18.46,10.25,0.84,0.29297,---,---,---
11/26/2016 15:07:29,18.47,9.2,0.46,0.30457,---,---,---
11/26/2016 15:08:29,18.47,10.43,0.34,0.14954,---,---,---
11/26/2016 15:09:29,18.48,9.72,1.48,0.27893,---,---,---
11/26/2016 15:10:29,18.47,9.09,0.73,0.13489,---,---,---
11/26/2016 15:11:29,18.48,11.1,0,0.19043,---,---,---
11/26/2016 15:12:29,18.48,11.1,1.28,0.31982,---,---,---
11/26/2016 15:13:29,18.48,12.59,1.46,0.22217,---,---,---
11/26/2016 15:14:29,18.47,10.17,1.21,0.30884,---,---,---
11/26/2016 15:15:29,18.48,12.63,1.25,0.28931,---,---,---
