Lat,Lon,featureNam,pcode,featureRef,popPlaceCl,popPlace_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod,date,validOn,validTo
31.40810917,35.21239063,An Najada,PS01503265,An Najada,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.48887315,34.98682868,Fuqeiqis,PS01502875,Fuqeiqis,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.46460279,35.15654377,Al Buweib,PS01503005,Al Buweib,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.46817408,35.1536636,Tura al Gharbiya,PS01010145,Tura al Gharbiya,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
31.39381632,35.06630751,As Samu',PS01503320,As Samu,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.17272618,35.52990439,Az Zubeidat,PS01351110,Az Zubeidat,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
32.26264011,35.43696835,Khirbet 'Atuf,PS01050790,Khirbet Atuf,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
31.69040791,35.27167892,Ash Shawawra,PS01452285,Ash Shawawra,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.37851416,34.91439662,Ar Ramadin,PS01503335,Ar Ramadin,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.39777358,34.92760362,Anab al Kabir,PS01503295,Anab al Kabir,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.38987108,35.211685,Khirbet Tawil ash Shih,PS01503325,Khirbet Tawil ash Shih,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.43524376,34.91699488,Al Burj,PS01503170,Al Burj,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.440666,34.99903545,Kurza,PS01503135,Kurza,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.42604095,35.13155183,Al Karmil,PS01503215,Al Karmil,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.41978459,35.11554756,Khallet Salih,PS01503225,Khallet Salih,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.41511071,34.97527562,Adh Dhahiriya,PS01503245,Adh Dhahiriya,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.80907723,35.34356998,Khan Al Ahmar - Wadi As Sider,PS01999759,Khan Al Ahmar - Wadi As Sider,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
