timestamp,temperature[degC],humidity[%],no2[ppb],co[ppm],no2[V],co[V],latitude[deg],longitude[deg],altitude[m]
10/8/2016 12:36,27.12,48.37,56.65,12.07,-0.82733,-1.97829,---,---,---
10/8/2016 12:36,27.13,48.36,60.39,12.02,-0.82738,-1.97837,---,---,---
10/8/2016 12:36,27.13,48.35,64.21,11.95,-0.82744,-1.97847,---,---,---
10/8/2016 12:36,27.13,48.35,62.21,11.92,-0.82741,-1.97852,---,---,---
10/8/2016 12:37,---,48.34,62.05,11.84,-0.82741,-1.97863,---,---,---
10/8/2016 12:37,27.13,48.34,60.2,11.79,-0.82738,-1.9787,---,---,---
10/8/2016 12:37,27.13,48.34,58.89,11.76,-0.82736,-1.97875,---,---,---
10/8/2016 12:37,27.13,48.85,58.21,11.71,-0.82735,-1.97883,---,---,---
10/8/2016 12:37,27.07,---,---,10.36,---,-1.98088,---,---,---
10/8/2016 12:41,27.06,48.88,78.3,9.73,-0.82764,-1.98182,---,---,---
10/8/2016 12:41,27.06,48.91,80.89,9.99,-0.82768,-1.98144,---,---,---
10/8/2016 12:41,27.05,48.92,75.97,9.5,-0.8276,-1.98217,---,---,---
10/8/2016 12:41,27.05,48.92,73.62,9.79,-0.82757,-1.98175,---,---,---
10/8/2016 12:41,27.04,48.92,68.71,9.23,-0.82749,-1.98258,---,---,---
10/8/2016 12:41,27.04,48.93,76.96,9.02,-0.82762,-1.9829,---,---,---
10/8/2016 12:41,27.03,48.89,79.67,9,-0.82765,-1.98293,---,---,---
10/8/2016 12:41,27.02,48.82,80.73,8.8,-0.82767,-1.98323,---,---,---
10/8/2016 12:42,27.02,48.8,81.48,8,-0.82768,-1.98442,---,---,---
10/8/2016 12:42,27.01,48.8,79.66,8.56,-0.82765,-1.98359,---,---,---
10/8/2016 12:42,27.01,48.82,79.58,8.56,-0.82765,-1.9836,---,---,---
10/8/2016 12:42,27,48.84,83.74,8.77,-0.82771,-1.9833,---,---,---
10/8/2016 12:42,27,48.86,86.49,8.38,-0.82775,-1.98388,---,---,---
10/8/2016 12:42,26.99,48.89,89.64,7.93,-0.8278,-1.98455,---,---,---
10/8/2016 12:42,26.99,48.93,86.64,8.04,-0.82775,-1.98439,---,---,---
10/8/2016 12:42,26.98,48.99,87.95,8.19,-0.82777,-1.98418,---,---,---
10/8/2016 12:42,27.4,45.24,60.81,14.21,-0.82743,-1.97484,---,---,---
10/8/2016 12:49,27.38,45.29,50.49,14.87,-0.82727,-1.97389,---,---,---
10/8/2016 12:50,27.35,45.34,55.05,14.36,-0.82733,-1.97466,---,---,---
10/8/2016 12:50,27.33,45.38,55.26,14.04,-0.82733,-1.97516,---,---,---
10/8/2016 12:50,27.31,45.42,56.67,12.9,-0.82735,-1.97687,---,---,---
10/8/2016 12:50,27.29,45.46,51.99,12.82,-0.82728,-1.97701,---,---,---
10/8/2016 12:50,27.27,45.5,49.93,12.78,-0.82725,-1.97709,---,---,---
10/8/2016 12:50,27.25,45.54,50.87,12.66,-0.82726,-1.9773,---,---,---
10/8/2016 12:50,27.23,45.57,55.58,13.13,-0.82732,-1.97661,---,---,---
10/8/2016 12:50,27.21,45.6,54.98,13.14,-0.82731,-1.97663,---,---,---
10/8/2016 12:50,27.19,45.62,60.84,13.58,-0.8274,-1.976,---,---,---
